class_id,instructor_id
1,1
3,2
4,3
6,4
7,5
8,6
9,7
10,3
11,8
12,9
2002,612
2003,612
2004,612
2007,613
2012,613
14,10
2017,614
2019,615
2020,615
2021,615
2023,615
2024,615
2025,615
2027,615
2028,615
2029,615
2031,616
2033,617
2035,618
2036,618
2037,618
2038,619
2039,619
2040,619
2041,619
15,11
2045,620
2046,620
2047,620
2048,621
2049,621
2050,621
2051,620
2052,621
2053,621
2054,620
2055,622
2056,622
2057,622
16,12
2058,12
2059,12
2062,12
2063,12
2066,623
17,13
18,13
2067,624
2068,624
2069,613
2070,625
2071,626
2072,616
2073,616
2074,616
2075,616
2076,616
2077,616
2078,11
2080,627
2081,627
2082,628
2083,628
2084,628
2085,628
2086,628
2087,10
2088,621
2089,629
2090,617
2091,617
2092,630
2093,630
2094,622
2095,613
2096,630
2097,630
19,14
2098,631
2099,632
2100,613
2101,633
2102,633
2103,634
2104,634
2106,635
2107,11
2108,636
2109,626
2110,619
2111,619
2112,619
2113,631
2114,628
2115,626
2116,618
2117,615
2118,614
2119,637
2122,623
2123,634
2124,614
2125,629
2126,624
2127,630
2276,659
2277,660
21,15
22,16
23,17
24,17
25,18
26,19
27,20
28,21
29,22
30,23
31,24
32,25
33,26
34,27
35,27
36,27
37,28
38,15
39,29
40,30
47,31
48,31
49,32
50,33
51,34
52,35
53,35
54,36
56,37
57,38
58,39
59,36
60,40
1713,564
62,41
1721,564
1722,565
1723,40
1724,566
1725,565
1726,566
64,41
1727,567
1728,568
1729,569
1730,567
1731,569
1731,569
2278,661
66,42
67,43
68,44
69,45
70,45
71,46
72,47
74,48
75,49
76,49
77,50
78,51
79,52
80,53
81,54
82,55
83,56
84,57
85,57
86,58
87,55
88,59
89,60
90,60
91,60
92,60
93,60
94,60
95,61
96,61
97,61
98,60
99,60
100,60
101,61
102,62
103,62
104,62
105,61
106,63
107,64
108,64
109,64
110,64
117,65
118,66
119,67
120,68
121,69
122,70
124,71
125,72
126,73
127,74
128,75
129,76
130,77
131,69
132,78
133,79
134,80
137,81
138,82
141,82
143,83
144,84
145,85
146,85
147,86
148,86
150,87
151,88
152,89
154,90
155,91
156,92
158,93
159,90
160,90
161,94
162,95
163,96
164,97
165,98
166,99
167,100
168,101
169,102
170,103
172,104
174,105
175,106
176,107
177,108
178,109
179,93
180,110
1443,111
184,111
185,111
186,112
187,113
1493,529
1535,530
1538,531
189,114
1545,532
1549,533
190,115
1556,534
1559,535
