class_id,days_mask,start_slot,length_slots,pref
1,1010100,90,12,0.0
1,1010100,102,12,0.0
1,1010100,114,12,0.0
1,1010100,126,12,0.0
1,1010100,138,12,0.0
1,1010100,150,12,-10.0
1,1010100,162,12,0.0
1,1010100,174,12,0.0
1,1010100,186,12,0.0
1,1010100,198,12,0.0
2,1010100,90,12,0.0
2,1010100,102,12,0.0
2,1010100,114,12,-10.0
2,1010100,126,12,0.0
2,1010100,138,12,0.0
2,1010100,150,12,0.0
2,1010100,162,12,0.0
2,1010100,174,12,0.0
2,1010100,186,12,0.0
2,1010100,198,12,0.0
3,1010100,90,12,0.0
3,1010100,102,12,0.0
3,1010100,114,12,0.0
3,1010100,126,12,0.0
3,1010100,138,12,0.0
3,1010100,150,12,0.0
3,1010100,162,12,-10.0
3,1010100,174,12,0.0
3,1010100,186,12,0.0
3,1010100,198,12,0.0
4,1010100,90,12,0.0
4,1010100,102,12,0.0
4,1010100,114,12,0.0
4,1010100,126,12,0.0
4,1010100,138,12,0.0
4,1010100,150,12,0.0
4,1010100,162,12,0.0
4,1010100,174,12,0.0
4,1010100,186,12,-10.0
4,1010100,198,12,0.0
5,1010100,90,12,0.0
5,1010100,102,12,-10.0
5,1010100,114,12,0.0
5,1010100,126,12,0.0
5,1010100,138,12,0.0
5,1010100,150,12,0.0
5,1010100,162,12,0.0
5,1010100,174,12,0.0
5,1010100,186,12,0.0
5,1010100,198,12,0.0
6,1000000,90,12,0.0
6,1000000,102,12,0.0
6,1000000,114,12,0.0
6,1000000,126,12,0.0
6,1000000,138,12,0.0
6,1000000,150,12,0.0
6,1000000,162,12,0.0
6,1000000,174,12,-1.0
6,1000000,186,12,0.0
6,1000000,198,12,0.0
7,1010100,90,12,0.0
7,1010100,102,12,0.0
7,1010100,114,12,0.0
7,1010100,126,12,0.0
7,1010100,138,12,-10.0
7,1010100,150,12,0.0
7,1010100,162,12,0.0
7,1010100,174,12,0.0
7,1010100,186,12,0.0
7,1010100,198,12,0.0
8,1010100,90,12,0.0
8,1010100,102,12,0.0
8,1010100,114,12,0.0
8,1010100,126,12,0.0
8,1010100,138,12,0.0
8,1010100,150,12,0.0
8,1010100,162,12,0.0
8,1010100,174,12,0.0
8,1010100,186,12,0.0
8,1010100,198,12,0.0
9,1010100,90,12,0.0
9,1010100,102,12,0.0
9,1010100,114,12,0.0
9,1010100,126,12,0.0
9,1010100,138,12,0.0
9,1010100,150,12,0.0
9,1010100,162,12,-10.0
9,1010100,174,12,0.0
9,1010100,186,12,0.0
9,1010100,198,12,0.0
10,1000000,90,12,0.0
10,1000000,102,12,0.0
10,1000000,114,12,0.0
10,1000000,126,12,0.0
10,1000000,138,12,0.0
10,1000000,150,12,0.0
10,1000000,162,12,0.0
10,1000000,174,12,-1.0
10,1000000,186,12,0.0
10,1000000,198,12,0.0
11,1010100,90,12,0.0
11,1010100,102,12,0.0
11,1010100,114,12,0.0
11,1010100,126,12,0.0
11,1010100,138,12,0.0
11,1010100,150,12,-10.0
11,1010100,162,12,0.0
11,1010100,174,12,0.0
11,1010100,186,12,0.0
11,1010100,198,12,0.0
12,1010100,90,12,0.0
12,1010100,102,12,0.0
12,1010100,114,12,0.0
12,1010100,126,12,0.0
12,1010100,138,12,0.0
12,1010100,150,12,0.0
12,1010100,162,12,0.0
12,1010100,174,12,0.0
12,1010100,186,12,0.0
12,1010100,198,12,-10.0
13,0101000,180,18,0.0
1968,1010000,90,24,0.0
1969,1000100,90,24,0.0
1970,1010000,114,24,0.0
1971,1000100,114,24,0.0
1972,1010000,138,24,0.0
1973,1000100,138,24,0.0
1974,1010000,162,24,0.0
1975,1000100,162,24,0.0
1976,0101000,90,24,0.0
1977,0101000,90,24,0.0
1978,0101000,138,24,0.0
1979,0101000,138,24,0.0
1980,0101000,114,24,0.0
1981,0101000,114,24,0.0
1982,0101000,162,24,0.0
1983,0101000,162,24,0.0
2258,1000000,90,24,0.0
2258,0100000,90,24,0.0
2258,0010000,90,24,0.0
2258,0001000,90,24,0.0
2258,0000100,90,24,-40.0
2258,1000000,114,24,0.0
2258,0100000,114,24,0.0
2258,0010000,114,24,0.0
2258,0001000,114,24,0.0
2258,0000100,114,24,0.0
2258,1000000,138,24,0.0
2258,0100000,138,24,0.0
2258,0010000,138,24,0.0
2258,0001000,138,24,0.0
2258,0000100,138,24,0.0
2258,1000000,162,24,0.0
2258,0100000,162,24,0.0
2258,0010000,162,24,0.0
2258,0001000,162,24,0.0
2258,0000100,162,24,0.0
2258,1000000,186,24,0.0
2258,0100000,186,24,0.0
2258,0010000,186,24,0.0
2258,0001000,186,24,0.0
2258,0000100,186,24,0.0
2259,1000000,90,24,0.0
2259,0100000,90,24,0.0
