student_id,offering_id,weight
1,207,1.0213
1,311,1.0833
1,990,1.0159
2,315,1.0995
2,633,1.194
2,232,1.0345
2,550,1.1321
2,231,0.991
3,549,1.087
3,371,1.075
3,633,1.194
4,593,1.0155
4,85,1.0671
4,854,1.0465
4,332,0.9877
4,200,1.1123
4,331,1.0476
4,880,1.2739
4,902,1.4286
5,222,0.4587
6,339,0.9836
6,338,1.0169
6,337,1.0196
6,336,1.0556
7,96,1.6333
7,146,1.2644
7,100,1.18
8,648,1.1111
8,647,1.1111
8,646,1.1905
8,645,1.1111
8,644,1.1111
8,643,1.1111
8,640,1.0303
9,502,1.0276
9,729,1.0309
9,178,1.375
9,364,0.9561
9,177,1.0638
10,406,0.4444
10,912,0.8085
10,911,0.9048
10,407,1.0294
11,633,1.194
11,325,1.2422
12,241,1.0606
12,240,1.0606
12,114,1.0606
12,641,1.0606
12,640,1.0303
12,242,1.0448
13,828,1.5385
13,550,1.1321
13,627,1.3978
14,384,1.25
14,50,1.1215
14,335,1.0307
15,550,1.1321
16,335,1.0307
16,620,1.0138
16,608,1.1765
17,87,1.3509
17,208,1.0825
17,90,1.082
17,353,1.1636
17,89,1.1549
18,438,1.0123
18,229,1.0494
18,558,1.195
18,557,1.1429
18,567,1.4062
18,566,1.2025
18,544,1.0127
19,228,1.0559
19,227,1.1392
19,567,1.4062
19,555,1.0294
19,565,1.1801
19,486,1.1193
19,485,1.1193
20,527,1.1486
20,531,1.3333
20,530,
20,528,1.092
21,597,1.5745
22,362,0.8529
22,366,1.124
23,156,1.0732
24,491,1.047
24,260,0.8696
25,237,1.178
25,1026,0.9677
25,463,1.1029
26,291,1.0989
26,693,1.1111
27,471,1.0949
28,681,2.6667
28,479,1.0529
28,677,1.165
28,730,1.3585
29,735,1.1561
29,214,1.0072
29,400,1.117
29,399,1.1429
30,383,1.0314
30,85,1.0671
30,985,0.8571
30,984,
30,728,1.1194
31,448,
32,474,1.1069
33,535,1.1967
33,533,1.2295
33,532,1.25
34,588,1.0575
35,471,1.0949
36,96,1.6333
36,541,1.218
37,670,1.2256
37,281,1.0625
37,302,1.036
37,278,1.1429
37,275,1.0909
38,806,0.9375
38,300,1.0526
38,233,1.087
38,803,1.0213
39,499,1.0581
39,496,1.3678
40,496,1.3678
40,374,1.0526
40,121,1.3478
41,84,1.2857
41,585,1.8627
41,550,1.1321
42,392,0.9677
42,919,1.0194
42,412,0.5505
43,115,0.9859
43,642,0.9877
43,113,
43,112,0.9589
43,640,1.0303
43,639,
44,498,1.017
44,837,1.9444
45,87,1.3509
46,511,1.4474
46,510,1.3793
47,75,1.0145
47,354,1.1434
48,97,1.1538
48,19,1.129
48,61,1.0968
48,91,1.1518
49,666,1.2317
49,116,0.9375
49,61,1.0968
49,209,1.6327
50,415,0.6122
50,919,1.0194
50,412,0.5505
51,923,1.0356
51,316,1.0294
51,925,1.0584
52,622,0.8602
52,542,1.025
52,608,1.1765
53,426,1.3134
53,425,0.9072
53,422,1.1324
54,966,1.6667
54,621,1.0417
54,586,1.0727
54,958,
55,386,
56,424,1.0784
56,303,1.1749
56,421,1.1124
56,420,1.0526
56,671,1.1702
57,48,1.0879
57,662,1.28
57,353,1.1636
58,500,1.045
59,665,1.1895
59,400,1.117
59,210,1.3188
60,392,0.9677
60,237,1.178
61,655,1.1589
61,49,1.1881
62,54,1.3333
62,234,1.1828
63,281,1.0625
63,280,1.1429
63,620,1.0138
63,279,1.1538
63,594,1.1401
64,516,0.9302
64,1043,0.9091
64,514,0.625
64,399,1.1429
64,519,
64,518,0.8889
65,73,1.0909
65,72,0.9362
65,71,1.1613
65,442,1.0976
66,663,1.1429
66,574,0.9928
67,603,1.0811
67,597,1.5745
67,652,1.117
68,457,1.0569
68,135,1.0309
68,121,1.3478
68,132,0.9859
68,671,1.1702
69,541,1.218
70,87,1.3509
70,526,1.039
70,536,1.0429
70,335,1.0307
70,553,1.6495
71,235,1.0493
71,234,1.1828
71,982,1.3636
71,629,1.7647
71,981,1.0294
72,472,1.1798
72,237,1.178
72,455,
73,30,1.25
73,666,1.2317
73,256,1.2281
74,512,1.1728
74,214,1.0072
74,400,1.117
74,399,1.1429
75,477,1.0446
76,648,1.1111
76,647,1.1111
76,646,1.1905
76,645,1.1111
76,644,1.1111
76,643,1.1111
76,640,1.0303
77,329,1.7391
77,626,0.9756
77,601,1.1316
77,599,1.0482
77,594,1.1401
78,527,1.1486
78,534,1.5
78,531,1.3333
79,633,1.194
80,310,1.1626
80,386,
80,308,1.0727
81,368,1.4563
81,386,
82,28,1.2368
82,27,1.1778
82,26,1.1392
82,24,1.1628
82,23,
83,867,1.1053
83,173,0.9091
83,864,1.1765
83,863,0.9524
83,861,1.0465
84,393,1.4286
84,376,1.6364
84,266,1.0667
85,90,1.082
85,365,0.9622
85,89,1.1549
86,648,1.1111
86,647,1.1111
86,646,1.1905
86,645,1.1111
86,644,1.1111
86,643,1.1111
86,640,1.0303
87,442,1.0976
87,1045,1.0227
88,153,1.145
88,636,2.3426
88,152,0.8861
88,157,1.1881
88,156,1.0732
89,502,1.0276
89,370,1.0959
89,137,1.087
89,498,1.017
90,162,1.0227
90,161,1.05
90,795,1.2121
91,663,1.1429
91,66,1.12
92,471,1.0949
93,415,0.6122
93,919,1.0194
94,9,1.2281
94,7,1.3538
95,438,1.0123
95,229,1.0494
95,558,1.195
95,557,1.1429
95,567,1.4062
95,566,1.2025
95,544,1.0127
96,241,1.0606
96,240,1.0606
96,114,1.0606
96,641,1.0606
96,640,1.0303
96,242,1.0448
97,593,1.0155
97,435,1.1194
97,542,1.025
97,541,1.218
98,284,1.25
98,578,1.2941
98,275,1.0909
99,214,1.0072
99,906,1.125
99,905,0.7273
99,398,1.3675
99,904,1.5
99,914,0.9633
100,576,1.1606
101,692,2.3529
101,291,1.0989
102,201,1.0939
102,56,0.9948
103,468,1.0345
103,466,1.0652
103,463,1.1029
103,506,1.0549
104,537,1.1321
104,185,1.4035
104,183,1.4286
104,729,1.0309
105,304,1.1429
105,498,1.017
106,437,1.3333
106,476,1.1146
107,502,1.0276
107,281,1.0625
107,330,1.2
107,286,1.2
108,328,1.2931
108,118,1.2821
109,589,1.1321
109,620,1.0138
110,831,2.6667
110,633,1.194
110,827,0.4321
111,362,0.8529
111,637,1.4476
111,346,1.2125
111,144,1.0692
112,60,1.0333
112,353,1.1636
112,209,1.6327
113,235,1.0493
113,499,1.0581
113,253,1.0897
114,445,1.0732
114,442,1.0976
115,468,1.0345
115,463,1.1029
116,233,1.087
117,249,1.7159
117,155,1.087
118,180,1.1911
119,663,1.1429
119,442,1.0976
119,66,1.12
120,327,1.0246
120,360,1.1337
120,624,1.3889
120,599,1.0482
120,608,1.1765
120,595,1.0833
121,605,1.1278
122,76,1.053
122,42,1.141
122,41,1.1056
122,580,1.0897
123,633,1.194
123,853,
123,621,1.0417
123,168,0.8971
123,167,1.1111
124,626,0.9756
124,624,1.3889
125,431,1.1905
126,50,1.1215
126,938,0.7241
127,502,1.0276
128,492,1.6757
128,624,1.3889
129,670,1.2256
129,577,1.1774
129,210,1.3188
129,671,1.1702
130,21,1.1185
130,446,1.1667
131,736,1.1881
131,550,1.1321
131,132,0.9859
132,510,1.3793
132,498,1.017
133,435,1.1194
134,468,1.0345
134,466,1.0652
134,463,1.1029
135,593,1.0155
135,60,1.0333
135,610,0.4762
136,226,1.3245
136,610,0.4762
136,595,1.0833
136,606,1.0559
137,547,1.1364
137,986,1.4706
137,25,1.1489
137,539,1.1765
138,480,1.3115
138,678,1.3793
139,368,1.4563
139,257,1.0308
140,890,1.1494
140,30,1.25
140,250,1.039
140,666,1.2317
140,256,1.2281
141,76,1.053
141,216,1.2063
141,213,1.5
141,609,1.2059
142,349,1.4151
142,348,1.4118
142,365,0.9622
142,979,1.1475
143,335,1.0307
143,541,1.218
143,540,1.0309
144,48,1.0879
144,25,1.1489
144,34,1.6606
145,18,1.3721
145,303,1.1749
145,497,1.1139
145,726,1.2435
146,680,1.2
146,51,0.9859
147,349,1.4151
148,87,1.3509
148,335,1.0307
148,214,1.0072
148,386,
149,609,1.2059
149,377,0.9639
150,21,1.1185
150,237,1.178
150,541,1.218
150,387,0.6609
150,540,1.0309
151,237,1.178
151,235,1.0493
151,442,1.0976
152,164,1.0227
152,502,1.0276
152,620,1.0138
152,165,1.0714
153,895,
153,606,1.0559
154,550,1.1321
155,166,1.1389
155,165,1.0714
156,262,1.1111
156,657,1.0952
157,361,1.0146
157,9,1.2281
157,12,1.2222
158,186,1.0577
159,362,0.8529
159,361,1.0146
159,808,0.9091
159,200,1.1123
159,154,1.0741
160,462,1.1215
161,535,1.1967
161,533,1.2295
161,532,1.25
162,130,1.4557
162,468,1.0345
162,464,0.9712
163,228,1.0559
163,227,1.1392
163,567,1.4062
163,565,1.1801
163,486,1.1193
163,485,1.1193
164,360,1.1337
165,502,1.0276
165,235,1.0493
166,535,1.1967
166,533,1.2295
166,532,1.25
167,357,1.7045
168,74,1.068
168,73,1.0909
168,72,0.9362
168,70,1.1268
169,75,1.0145
169,74,1.068
169,70,1.1268
170,436,1.0497
170,521,1.1875
170,567,1.4062
170,543,1.125
170,564,1.1875
170,561,3.1887
170,559,1.0063
170,554,1.0755
170,484,1.2876
170,483,1.1377
171,438,1.0123
171,229,1.0494
171,558,1.195
171,557,1.1429
171,567,1.4062
171,556,1.0571
171,566,1.2025
171,544,1.0127
172,270,1.0549
172,929,0.9275
172,311,1.0833
173,228,1.0559
173,227,1.1392
173,567,1.4062
173,555,1.0294
173,565,1.1801
173,486,1.1193
173,485,1.1193
174,472,1.1798
174,888,0.5
174,542,1.025
174,541,1.218
175,251,1.8154
175,246,0.6646
175,253,1.0897
176,593,1.0155
177,163,
177,166,1.1389
178,536,1.0429
178,85,1.0671
178,546,1.1127
178,621,1.0417
178,608,1.1765
179,510,1.3793
179,354,1.1434
180,140,6.25
181,433,1.3274
182,438,1.0123
182,229,1.0494
182,558,1.195
182,557,1.1429
182,567,1.4062
182,566,1.2025
182,544,1.0127
183,76,1.053
183,808,0.9091
183,200,1.1123
183,980,1.1034
184,141,1.4545
185,302,1.036
185,48,1.0879
185,376,1.6364
185,265,1.1765
186,217,1.0345
186,215,1.4918
186,191,1.2564
186,190,1.0753
186,34,1.3636
187,281,1.0625
187,280,1.1429
187,673,0.9412
187,287,1.0317
188,736,1.1881
188,136,1.2857
188,135,1.0309
188,134,1.1333
188,133,
189,1032,1.1224
189,239,
189,238,1.0274
189,366,1.124
190,581,1.1494
190,226,1.3245
190,237,1.178
190,363,1.1628
191,503,1.0526
192,516,0.9302
192,1043,0.9091
192,90,1.082
192,518,0.8889
192,89,1.1549
193,626,0.9756
193,981,1.0294
194,257,1.0308
194,596,1.1163
195,538,1.0448
195,163,
196,371,1.075
196,302,1.036
196,376,1.6364
196,550,1.1321
197,217,1.0345
197,303,1.1749
197,215,1.4918
197,577,1.1774
197,190,1.0753
198,427,0.9259
198,457,1.0569
198,429,1.0204
199,677,1.165
199,599,1.0482
199,90,1.082
199,89,1.1549
200,130,1.4557
200,586,1.0727
201,604,2.4405
201,426,1.3134
201,425,0.9072
201,422,1.1324
201,430,0.9036
201,605,1.1278
202,163,
202,795,1.2121
203,867,1.1053
203,864,1.1765
203,171,1.4118
204,219,1.3208
204,220,2.0
205,468,1.0345
205,464,0.9712
206,582,0.951
207,423,1.0811
207,466,1.0652
207,464,0.9712
208,362,0.8529
208,289,1.3023
208,287,1.0317
209,503,1.0526
210,582,0.951
210,626,0.9756
210,50,1.1215
211,582,0.951
211,800,0.7111
211,807,1.0656
211,300,1.0526
211,627,1.3978
212,18,1.3721
212,959,
213,888,0.5
213,248,0.885
213,343,1.0709
214,472,1.1798
214,65,1.0299
214,346,1.2125
214,235,1.0493
214,895,
214,398,1.3675
215,890,1.1494
215,238,1.0274
216,961,1.4828
216,69,
216,948,0.8
216,947,0.8
217,539,1.1765
218,546,1.1127
219,491,1.047
219,69,
219,473,1.1705
220,490,1.0714
220,540,1.0309
220,297,1.118
221,291,1.0989
222,546,1.1127
223,435,1.1194
224,138,1.4286
225,539,1.1765
226,582,0.951
226,385,
227,442,1.0976
228,228,1.0559
228,227,1.1392
228,567,1.4062
228,565,1.1801
228,486,1.1193
228,485,1.1193
229,374,1.0526
230,520,2.5
231,854,1.0465
231,469,1.0938
232,666,1.2317
232,387,0.6609
233,615,0.8312
234,582,0.951
234,580,1.0897
234,238,1.0274
234,354,1.1434
235,75,1.0145
235,620,1.0138
236,129,1.1974
236,457,1.0569
237,542,1.025
237,595,1.0833
237,606,1.0559
238,150,1.2424
238,17,1.0227
238,773,2.1176
239,119,1.1053
239,129,1.1974
239,121,1.3478
239,132,0.9859
240,208,1.0825
240,927,1.2295
240,398,1.3675
241,288,1.2
241,287,1.0317
242,802,
242,327,1.0246
242,807,1.0656
242,300,1.0526
242,397,1.0307
243,260,0.8696
243,288,1.2
243,286,1.2
244,130,1.4557
244,622,0.8602
244,354,1.1434
245,39,1.2963
245,312,1.0811
245,1048,1.25
245,36,1.0385
246,228,1.0559
246,227,1.1392
246,567,1.4062
246,565,1.1801
246,486,1.1193
246,485,1.1193
247,287,1.0317
248,670,1.2256
248,130,1.4557
249,194,1.0737
249,193,1.2135
249,302,1.036
249,192,1.5464
249,190,1.0753
249,267,1.0294
250,130,1.4557
250,468,1.0345
250,464,0.9712
250,462,1.1215
251,446,1.1667
252,538,1.0448
253,670,1.2256
253,577,1.1774
253,211,1.7467
253,189,1.4706
253,188,1.4706
254,546,1.1127
254,854,1.0465
254,534,1.5
254,621,1.0417
255,486,1.1193
255,354,1.1434
255,485,1.1193
256,460,1.0965
256,588,1.0575
257,20,1.5044
257,46,
257,353,1.1636
258,666,1.2317
258,303,1.1749
258,726,1.2435
259,890,1.1494
259,888,0.5
259,248,0.885
260,282,1.0484
260,365,0.9622
261,85,1.0671
261,214,1.0072
261,400,1.117
261,399,1.1429
262,261,0.8383
262,442,1.0976
263,670,1.2256
263,302,1.036
263,671,1.1702
264,582,0.951
264,446,1.1667
265,592,1.0925
265,599,1.0482
265,594,1.1401
266,303,1.1749
266,477,1.0446
267,535,1.1967
267,533,1.2295
267,532,1.25
268,829,1.25
268,630,2.963
268,839,1.8462
269,310,1.1626
269,308,1.0727
270,535,1.1967
270,533,1.2295
270,532,1.25
271,260,0.8696
271,666,1.2317
271,303,1.1749
271,302,1.036
271,200,1.1123
271,496,1.3678
272,10,1.1268
272,692,2.3529
273,538,1.0448
273,498,1.017
274,75,1.0145
274,72,0.9362
275,373,1.1029
275,620,1.0138
275,629,1.7647
275,376,1.6364
276,890,1.1494
276,887,5.7143
276,546,1.1127
276,895,
277,147,1.1429
277,474,1.1069
278,237,1.178
279,438,1.0123
279,229,1.0494
279,558,1.195
279,557,1.1429
279,567,1.4062
279,556,1.0571
279,566,1.2025
279,544,1.0127
280,469,1.0938
280,464,0.9712
281,626,0.9756
281,624,1.3889
281,621,1.0417
281,828,1.5385
282,85,1.0671
282,609,1.2059
282,608,1.1765
283,15,1.0455
284,479,1.0529
284,203,1.0967
284,577,1.1774
284,189,1.4706
284,188,1.4706
285,601,1.1316
285,236,1.0649
285,605,1.1278
286,550,1.1321
287,768,1.1613
287,601,1.1316
287,600,1.098
287,770,1.5789
288,282,1.0484
288,287,1.0317
289,655,1.1589
289,270,1.0549
289,929,0.9275
289,311,1.0833
290,527,1.1486
290,531,1.3333
290,530,
290,528,1.092
291,339,0.9836
291,906,1.125
291,905,0.7273
292,890,1.1494
292,252,1.3258
292,657,1.0952
292,255,0.9836
292,254,1.6304
293,21,1.1185
294,260,0.8696
294,445,1.0732
294,444,1.3
295,128,1.0678
295,136,1.2857
296,237,1.178
296,354,1.1434
297,854,1.0465
297,542,1.025
298,374,1.0526
299,423,1.0811
299,508,1.0111
300,435,1.1194
300,301,1.3208
301,30,1.25
301,27,1.1778
301,26,1.1392
301,620,1.0138
302,239,
302,238,1.0274
303,263,1.1364
303,373,1.1029
303,622,0.8602
303,377,0.9639
304,890,1.1494
304,895,
304,255,0.9836
304,728,1.1194
304,254,1.6304
305,234,1.1828
306,17,1.0227
306,598,1.3575
306,398,1.3675
307,252,1.3258
307,502,1.0276
307,499,1.0581
307,542,1.025
307,253,1.0897
308,593,1.0155
308,21,1.1185
308,368,1.4563
308,620,1.0138
308,364,0.9561
309,228,1.0559
309,227,1.1392
309,567,1.4062
309,523,1.1842
309,565,1.1801
309,486,1.1193
309,485,1.1193
310,279,1.1538
310,278,1.1429
310,275,1.0909
311,604,2.4405
311,87,1.3509
311,601,1.1316
312,488,1.0606
313,50,1.1215
314,415,0.6122
314,414,0.8163
314,919,1.0194
314,412,0.5505
314,247,1.0274
314,915,0.7273
315,274,1.4634
315,277,1.1429
315,275,1.0909
316,502,1.0276
316,326,1.1278
316,247,1.0274
316,26,1.1392
317,954,0.9167
317,18,1.3721
318,354,1.1434
319,601,1.1316
319,290,1.5714
319,289,1.3023
319,287,1.0317
319,330,1.1111
320,619,0.9825
320,618,1.1951
321,239,
321,542,1.025
321,938,0.7241
322,581,1.1494
322,151,1.3281
322,620,1.0138
322,542,1.025
322,541,1.218
323,186,1.0577
323,151,1.3281
324,670,1.2256
324,515,1.7419
324,514,0.7576
324,513,1.3393
325,217,1.0345
325,215,1.4918
325,191,1.2564
325,190,1.0753
325,211,1.7467
326,186,1.0577
326,537,1.1321
327,29,1.2346
327,26,1.1392
327,728,1.1194
328,446,1.1667
328,442,1.0976
329,502,1.0276
329,370,1.0959
329,377,0.9639
330,377,0.9639
330,938,0.7241
